difference-bias,ColorDist,MotionDist
1.9249208228477e-16,0.450741541824194,0.33422018049959
-2.52583502818299e-16,0.436697496813914,0.221211411425397
2.59176371030905e-16,0.581967828020503,0.361365269806179
-3.2612969820795e-16,0.349012310902801,0.428990624434607
-9.58939706492177e-17,0.171283617838815,0.403731292964667
2.28626531859513e-16,0.428236301663429,0.367587849011582
3.9389886994414e-19,0.573656071142956,0.304130421475814
-7.71390766505567e-17,0.477472453559675,0.171868415768308
-9.41505534381433e-17,0.604538448792758,0.270927301552595
1.45173989296868e-16,0.553820180865232,0.24605339841024
2.65202673090101e-16,0.493567597375087,0.352019378867598
3.21301181902368e-16,0.510369357829378,0.422853806027057
1.80512062647994e-16,0.494942956497618,0.139201246181443
2.4997627195257e-16,0.595269449281293,0.240171777071468
6.33794863382049e-17,0.146993368109968,0.610403187519918
1.24525514913039e-17,0.76492777623314,0.217856186653147
2.6722873358864e-17,0.346282982022927,0.251918159694862
-1.38731402875665e-16,0.478843939899919,0.305475274852281
-5.3128740949888e-17,0.273029813508657,0.195515751257943
2.27570095330599e-16,0.0447077949939845,0.283458665116798
4.94399749761485e-17,0.262178644551999,0.387912602145478
-2.04325937176665e-16,0.327616656883136,0.334440350226164
-8.41432746165121e-17,0.372337752948714,0.126022051842316
-2.42931985542692e-16,0.428467864642952,0.410134236369138
2.38547702056819e-16,0.567722955758351,0.346902148085227
4.44449399935513e-16,0.455451108846209,0.332197931790115
-4.53117483390579e-17,0.457536046103326,0.305801839089027
2.73740143757269e-16,0.32017898082845,0.362207461360018
2.755786773038e-17,0.483232092892904,0.268313005648683
-2.47048941541054e-16,0.414905939658421,0.318693922816872
1.14333039435697e-16,0.531001862683969,0.277923332851572
7.78798958031799e-17,0.556754694386247,0.269256157795637
-2.69383978644274e-16,0.388099911097567,0.379057024580105
1.92536003374244e-16,0.460615977636198,0.238142001190131
1.41973766675828e-16,0.388295032099736,0.231929551954397
-3.87820618888893e-17,0.372461116146685,0.120156550896523
