sub_id,betaCol_1,betaCol_2,betaMot_1,betaMot_2,col_1,col_2,col_3,col_4,mot_1,mot_2,mot_3,mot_4,pedaldist,col_p_c_r,col_coh,mot_p_c_r,mot_coh,S
11,-4.81701080141863,10.3884016423432,0.264884438637806,8.04730129370384,0,0.309,0.618,0.927,-0.632,-0.232,0.167,0.566,7.28624014171248e-07,"[0,0.04,0.12,0.4,0.44,0.52,0.76,0.84,0.88,1,0.96,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.08,0.24,0.44,0.16,0.84,0.88,0.92,0.96,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[7.2862401412354671E-7,0.054173188729377264,0.94582681127062274,0.99999927137598588]"
12,-4.77767408439108,10.2168793529026,-0.116915641924868,5.82154399370581,0,0.312,0.624,0.935,-0.801,-0.253,0.294,0.841,8.8667251837372e-07,"[0.04,0,0,0.16,0.44,0.68,0.8,0.64,1,1,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.08,0.16,0.28,0.36,0.64,0.64,0.68,0.88,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[8.8667251840757189E-7,0.055629687805463179,0.94437031219453682,0.99999911332748159]"
13,-4.436114211603,8.65221817319139,0.117124571356896,5.1467780616937,0.025,0.35,0.675,1,-0.842,-0.296,0.25,0.796,1.24279603787025e-05,"[0,0.04,0.04,0.24,0.28,0.36,0.48,0.64,0.92,0.8,0.92,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0.04,0,0.04,0.2,0.2,0.24,0.76,0.88,0.84,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.2427960378702529E-5,0.079955940510072709,0.92004405948992729,0.9999875720396213]"
14,-4.77388689205138,9.76042590590112,0.815013944110265,13.6828539378333,0,0.326,0.652,0.978,-0.408,-0.176,0.0569999999999999,0.289,9.035194806274e-07,"[0,0.04,0.2,0.28,0.36,0.32,0.52,0.76,0.84,0.92,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.04,0.2,0.32,0.52,1,0.96,1,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[9.0351948067723953E-7,0.055771529836579958,0.94422847016342,0.99999909648051932]"
15,-5.89947392497555,11.4856952149857,-0.0958424614200334,2.14214475274784,0.335,0.454,0.573,0.692,-0.911,-0.274,0.363,1,0.0203633192076415,"[0,0,0.04,0.32,0.32,0.32,0.32,0.6,0.76,0.92,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0.04,0.48,0.64,0.48,0.4,0.48,0.36,0.28,0.52,0.96,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[0.02036331920764145,0.24758761884864877,0.75241238115135123,0.97963668079235855]"
16,-4.98164369720076,10.3643353052838,-0.245963274458184,7.49445270515927,0,0.32,0.641,0.961,-0.632,-0.189,0.254,0.698,3.15232204089811e-07,"[0,0,0.16,0.36,0.52,0.32,0.8,0.68,0.76,0.92,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.04,0.16,0.12,0.2,0.64,0.64,0.76,0.92,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[3.1523220411777686E-7,0.04840214014691413,0.951597859853086,0.99999968476779588]"
17,-5.53747843808445,10.246474325872,0.109138406319897,7.12620665397224,0.081,0.387,0.694,1,-0.676,-0.236,0.205,0.645,1.24470046480862e-06,"[0,0,0.04,0.2,0.08,0.32,0.52,0.36,0.68,0.8,0.96,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0.04,0,0.24,0.2,0.36,0.72,0.76,0.92,0.96,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.2447004648086235E-6,0.058246499492887738,0.94175350050711226,0.99999875529953519]"
18,-5.05759705528565,10.7104010017769,0.17430069263089,8.56664232391065,0,0.315,0.63,0.944,-0.611,-0.217,0.176,0.57,2.12286179636173e-07,"[0,0.04,0.04,0.36,0.48,0.48,0.68,0.8,0.96,0.96,0.96,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.12,0,0.24,0.48,0.76,0.8,0.96,0.96,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[2.1228617963497953E-7,0.045910836321954474,0.95408916367804564,0.99999978771382037]"
19,-7.23054976524174,15.2459091182946,0.172820887931542,4.5068463411464,0.19,0.38,0.569,0.759,-1,-0.359,0.282,0.923,7.3203618023641e-06,"[0,0,0.04,0.32,0.36,0.64,0.84,0.88,0.76,1,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0.04,0.08,0.04,0.04,0.16,0.48,0.8,0.88,0.92,0.92,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[7.3203618023987005E-6,0.074274576401055725,0.92572542359894427,0.9999926796381976]"
20,-7.97774410020935,16.78938226247,0.173834683691359,10.4351041774091,0,0.317,0.634,0.95,-0.781,-0.271,0.238,0.748,7.45159850732929e-16,"[0,0,0.08,0.28,0.32,0.6,0.72,0.84,0.96,1,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.04,0.08,0.24,0.4,0.76,0.84,0.92,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[7.7715611723760958E-16,0.0039258347232919988,0.996074165276708,0.99999999999999922]"
