Intercept,Colour distance,Motion distance
-0.064127266950923,0.208514169162646,0.179274996852805
0.115923608775304,0.09126782808051,0.00397188725814722
0.192517491133403,0.187733246914641,0.144708054396785
-0.0571524257918758,0.0827243916473875,-0.00851374928253695
0.12600185917946,0.0853683769598404,-0.0129556436753262
0.0351840204185191,0.144694153931714,0.195721873487606
0.284255568008695,0.291696518958553,0.256730100281111
-0.0510449242713388,0.241263053803594,-0.00604766706161756
0.0248588416812634,0.30626471317125,0.140585422792774
0.0279230358934937,0.285800447192046,0.0976685410287721
0.066646413833938,0.083211018447313,0.0193904585426574
-0.314245400641568,0.255384362724226,0.117405744815623
-0.0178976586293634,0.293352400085283,0.125461038235991
0.0464997492424108,0.113168290238471,0.0852556659080791
-0.0961739753797503,0.0877516833492974,0.577540575127917
-0.183549766668064,0.427423770491622,0.157491094187491
0.0344351809398358,0.191983090801412,0.0296406662088569
0.0840296282065159,0.2369550289662,0.0887268476295752
-0.217611584730828,0.0756155299833567,0.110887405319811
-0.337906355569049,0.399527857254935,0.23293560693777
0.0203677792978793,0.0863763341179297,0.0937143353506132
-0.15733127401762,0.132379341299452,0.0358395902662616
-0.160098675111499,0.312019489342468,0.136668205359847
-0.0592534882551232,0.0317862702674775,0.0807806305682448
-0.117830136296942,0.159130316306127,0.214801929095761
-0.103338972516762,0.195009106748109,0.17227574412662
0.0930441759029099,0.169003568757857,0.0984555591100036
0.29494405731697,0.0210266660644106,0.0633049651350849
-0.0736877811038234,0.305520184108042,0.133800760266791
-0.182532410059816,0.336583330137726,0.162845023624546
0.00159256547081141,0.112027883599915,0.0410117633609905
0.142496036849589,0.156027261199725,0.014836676861165
-0.0437029003164471,0.442627526265239,0.129237761657464
-0.0573889345128266,0.150430776685797,0.115729991830468
-0.307863325343098,0.119603686377701,0.129428551090226
-0.112704253630953,0.150839956651332,0.0741749457254334
-0.194654801651661,0.130897809299985,0.119639355398552
-0.170479890881259,0.183948266133842,0.106694274215342
0.0539025160856612,0.251935362130663,0.072996393201962
0.131624423364691,0.219415225631998,0.0521776030536955
0.0303729115223308,0.0491460776686385,-0.0349778325937252
