ED,subno
2.23606797749979,1
1.4142135623731,1
2.23606797749979,1
3.16227766016838,1
2.23606797749979,1
3.16227766016838,1
4.24264068711928,1
1.4142135623731,1
2.23606797749979,1
1.4142135623731,1
2.23606797749979,1
3.16227766016838,1
2.23606797749979,1
1.4142135623731,1
1.4142135623731,1
2.23606797749979,1
2.23606797749979,1
2.82842712474619,1
2.23606797749979,1
2.23606797749979,1
2.23606797749979,1
2.23606797749979,1
1.4142135623731,1
2.23606797749979,1
3.16227766016838,1
2.23606797749979,1
1.4142135623731,1
2.82842712474619,1
2.82842712474619,1
2.23606797749979,1
3.16227766016838,1
1.4142135623731,1
2.23606797749979,1
2.23606797749979,1
1.4142135623731,1
3.16227766016838,1
1.4142135623731,1
2.23606797749979,1
2.23606797749979,1
3.16227766016838,1
3.60555127546399,1
2.23606797749979,1
2.82842712474619,1
4.24264068711928,1
1.4142135623731,1
3.16227766016838,1
3.16227766016838,1
3.60555127546399,1
2.23606797749979,1
2.82842712474619,1
3.60555127546399,1
3.16227766016838,1
1.4142135623731,1
2.82842712474619,1
2.82842712474619,1
1.4142135623731,1
2.82842712474619,1
2.82842712474619,1
3.60555127546399,1
1.4142135623731,1
1.4142135623731,1
2.82842712474619,1
3.16227766016838,1
1.4142135623731,1
2.82842712474619,1
2.82842712474619,1
1.4142135623731,1
2.23606797749979,1
2.23606797749979,1
2.82842712474619,1
2.82842712474619,1
3.16227766016838,1
2.82842712474619,1
1.4142135623731,1
1.4142135623731,1
1.4142135623731,1
3.60555127546399,1
2.82842712474619,1
2.82842712474619,1
2.82842712474619,1
2.23606797749979,1
2.82842712474619,1
2.23606797749979,1
1.4142135623731,1
1.4142135623731,1
2.23606797749979,1
3.60555127546399,1
2.23606797749979,1
2.23606797749979,1
3.16227766016838,1
1.4142135623731,1
3.60555127546399,1
3.60555127546399,1
3.16227766016838,1
1.4142135623731,1
1.4142135623731,1
2.23606797749979,1
1.4142135623731,1
2.82842712474619,1
2.23606797749979,1
2.82842712474619,1
2.23606797749979,1
2.23606797749979,1
2.23606797749979,1
2.23606797749979,1
2.23606797749979,1
2.23606797749979,1
2.23606797749979,1
2.23606797749979,1
2.23606797749979,1
2.23606797749979,1
2.82842712474619,1
3.60555127546399,1
2.23606797749979,1
2.82842712474619,1
1.4142135623731,1
1.4142135623731,1
1.4142135623731,1
3.16227766016838,1
1.4142135623731,1
1.4142135623731,1
3.60555127546399,1
4.24264068711928,1
4.24264068711928,1
3.16227766016838,1
3.16227766016838,1
2.82842712474619,1
3.60555127546399,1
2.23606797749979,1
1.4142135623731,1
2.82842712474619,1
2.23606797749979,1
2.23606797749979,1
2.82842712474619,1
1.4142135623731,1
2.23606797749979,1
3.16227766016838,1
1.4142135623731,1
3.60555127546399,1
3.16227766016838,1
3.60555127546399,1
3.16227766016838,1
3.60555127546399,1
3.16227766016838,1
3.60555127546399,1
2.82842712474619,1
2.82842712474619,1
3.16227766016838,1
2.82842712474619,1
2.23606797749979,1
1.4142135623731,1
2.23606797749979,1
