Subject,V4_colourModel,V4_motionModel,MT_colourModel,MT_motionModel
1,0.189601375440858,-0.0166153344436087,0.184762320541882,0.0848268560631785
2,0.0130253239973319,-0.0504665561362453,0.0899282235286241,-0.0872925280309798
3,0.0699994149635416,-0.077872099808413,0.0653257526033237,0.0138747800763919
4,-0.0932559214084311,0.119443183640109,-0.0956312890500706,0.0278421799744882
5,0.0593246497270356,0.122711009420885,0.0453724659425051,0.12089169149455
6,0.161689730600091,-0.0486505460606847,0.0525471942738185,-0.00254042939531982
7,-0.0235509051638783,-0.021381616625531,0.069297158243976,-0.0124107253233079
8,0.00376268025673997,-0.0650502086337532,0.0312763906492552,-0.128357841479154
9,-0.0159147316494306,-0.00433526922591948,0.0685747236346819,0.230332595960741
10,0.04250919031153,0.0265058082613252,0.11693450961223,0.107842220186559
11,0.0663015685819947,-0.037325457361783,0.0434482891465968,0.102213912092631
12,0.130555577534168,0.0167512871104676,0.0195851228695438,-0.0294865125948183
13,-0.0589627708522336,0.0535339261600475,0.0411708338879019,0.00685088974042563
14,0.192859939239464,0.0196387100521013,0.101722365467443,-0.0733092504491627
15,-0.0114524409537452,-0.0201861593553896,-0.00835199242219143,0.253161728085481
16,0.0848093244540702,0.0856399257837118,0.17013401205891,0.027995995035533
17,0.029299619026022,-0.0892130661910354,-0.00791734083033593,-0.0453830510649856
18,0.0856796199930137,-0.0164142171164792,0.03699698777981,0.0527886673804049
19,0.0702676816614068,-0.0570270165786123,0.0286605422562618,0.0404970246850026
20,0.0887545980735987,0.120323402731378,0.057254596711943,0.0730085668137011
21,-0.068872430204446,0.055780949191611,0.116834612518821,0.00987161906829811
22,0.0696828536443592,-0.0195814842336911,0.0415002958251074,0.0262196791692742
23,0.138947264165661,-0.0219181500212613,-0.0686964525432077,0.0808928291362854
24,0.133977218375989,-0.0291454731798997,0.0131586303835706,0.0963474387428919
25,-0.0801078761473409,-0.0954635810157702,-0.0497338671895483,-0.0159739421783059
26,0.0989884268017764,0.0540568973675997,0.121768602735043,0.206292790452295
27,0.0290720388926912,-0.0286674887428896,0.0165084908635711,-0.0036806455575161
28,-0.0162895111422558,0.0235274194233747,0.02931185807389,-0.0177181718920457
29,0.0183304550705271,0.0744997459431414,0.0522875279879687,0.0812950637905444
30,-0.00237768313718215,-0.0572790748076792,0.0037653265373601,0.0241079472344146
31,0.0193423266226473,0.0469890126163238,0.0888310094265049,0.0670448426511723
32,-0.0240120195619351,0.0488126307486673,-0.0209850053175898,0.00540899758753512
33,0.0117008605469594,0.0331416877013657,0.0269712228653896,-0.0435276775652005
34,0.0363000236214846,-0.0798842654349404,0.0484438053872374,-0.0399075656768698
35,-0.0960077224682833,0.0793010913432804,0.0718359337139082,0.0736737756045849
36,0.154715127240675,0.0178494935678194,0.156632026764878,-0.042137057099325
37,0.0436718998589973,-0.0115146285483181,0.0247506626400274,0.0166914150114373
38,0.0816106327544943,0.100027422730253,-0.102978025621692,0.199371112705281
39,0.112062706990581,-0.0331909746779155,-0.0504536555182222,0.106192595004989
40,0.0343652617030959,-0.0321929960990509,0.0127888126669082,-0.022918113310591
41,-0.0337900264532963,0.0548851832016987,-0.0458392036868796,0.0781922997634481
